,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BMZBBT7,Blackrock Inc,BLK,0.27%,Asset Management & Custody Banks,US,---,"$4,113,968,654.04 ","3,676,666"
,BDRXDB4,Booking Holdings Inc,BKNG,0.27%,"Hotels, Resorts & Cruise Lines",US,---,"$4,111,572,502.08 ","822,012"
,2032067,Analog Devices Inc,ADI,0.26%,Semiconductors,US,---,"$3,896,282,356.00 ","12,533,075"
,2684703,Pfizer Inc,PFE,0.25%,Pharmaceuticals,US,---,"$3,829,708,568.64 ","144,845,256"
,2536763,Lowe's Cos Inc,LOW,0.25%,Home Improvement Retail,US,---,"$3,815,309,693.34 ","14,286,339"
,BL9XPM3,Arista Networks Inc,ANET,0.25%,Communications Equipment,US,---,"$3,728,909,668.78 ","26,308,097"
,2020459,Honeywell International Inc,HON,0.24%,Industrial Conglomerates,US,---,"$3,679,580,851.20 ","16,172,560"
,2914734,Union Pacific Corp,UNP,0.23%,Rail Transportation,US,---,"$3,552,787,706.50 ","15,111,815"
,2654461,Capital One Financial Corp,COF,0.23%,Consumer Finance,US,---,"$3,545,997,606.71 ","16,196,947"
,2459020,Intuit Inc,INTU,0.23%,Application Software,US,---,"$3,543,879,150.92 ","7,103,101"
,2113434,Boston Scientific Corp,BSX,0.23%,Health Care Equipment,US,---,"$3,532,242,382.28 ","37,765,876"
,2250870,Danaher Corp,DHR,0.23%,Life Sciences Tools & Services,US,---,"$3,505,884,518.50 ","16,016,650"
,B8KQN82,Eaton Corp PLC,ETN,0.23%,Electrical Components & Equipment,US,---,"$3,477,241,510.02 ","9,894,831"
,2261203,Deere & Co,DE,0.22%,Agricultural & Farm Machinery,US,---,"$3,381,091,824.00 ","6,403,583"
,BTN1Y11,Medtronic PLC,MDT,0.22%,Health Care Equipment,US,---,"$3,364,214,705.28 ","32,674,968"
,BYVYHH4,Welltower Inc,WELL,0.22%,Health Care REITs,US,---,"$3,293,441,260.28 ","17,484,823"
,2522096,Lockheed Martin Corp,LMT,0.22%,Aerospace & Defense,US,---,"$3,290,894,644.70 ","5,188,885"
,2685717,ConocoPhillips,COP,0.22%,Oil & Gas Exploration & Production,US,---,"$3,281,551,679.42 ","31,483,754"
,BMV3LG4,AppLovin Corp,APP,0.22%,Application Software,US,---,"$3,262,987,154.79 ","6,896,889"
,2853688,Stryker Corp,SYK,0.21%,Health Care Equipment,US,---,"$3,240,405,926.36 ","8,768,281"
,2008154,Adobe Inc,ADBE,0.21%,Application Software,US,---,"$3,127,039,997.25 ","10,663,393"
,2636607,Newmont Corp,NEM,0.21%,Gold,US,---,"$3,123,545,150.25 ","27,801,915"
,2705024,Progressive Corp/The,PGR,0.21%,Property & Casualty Insurance,US,---,"$3,106,925,120.00 ","14,937,140"
,B80NXX8,ServiceNow Inc,NOW,0.20%,Systems Software,US,---,"$3,092,447,578.17 ","26,428,917"
,B44WZD7,Prologis Inc,PLD,0.20%,Industrial REITs,US,---,"$3,089,355,893.76 ","23,662,346"
,B87ZMX0,Palo Alto Networks Inc,PANW,0.20%,Systems Software,US,---,"$3,083,827,898.70 ","17,425,710"
,2931034,Vertex Pharmaceuticals Inc,VRTX,0.20%,Biotechnology,US,---,"$3,037,289,340.70 ","6,463,693"
,2671501,Parker-Hannifin Corp,PH,0.20%,Industrial Machinery & Supplies & Components,US,---,"$3,008,577,737.28 ","3,214,842"
,B3BQMF6,Chubb Ltd,CB,0.19%,Property & Casualty Insurance,US,---,"$2,886,197,828.44 ","9,323,549"
,2126335,Bristol-Myers Squibb Co,BMY,0.19%,Pharmaceuticals,US,---,"$2,854,922,231.55 ","51,860,531"
,BJJP138,Crowdstrike Holdings Inc,CRWD,0.19%,Systems Software,US,---,"$2,821,662,923.49 ","6,392,458"
,2044545,Comcast Corp,CMCSA,0.18%,Integrated Telecommunication Services,US,---,"$2,754,632,230.00 ","92,592,680"
,BKF2SL7,Blackstone Inc,BX,0.18%,Asset Management & Custody Banks,US,---,"$2,679,442,026.88 ","18,813,664"
,2842255,Starbucks Corp,SBUX,0.18%,Restaurants,US,---,"$2,663,092,128.30 ","28,962,394"
,2965839,CME Group Inc,CME,0.18%,Financial Exchanges & Data,US,---,"$2,655,554,907.84 ","9,186,864"
,2692632,Altria Group Inc,MO,0.18%,Tobacco,US,---,"$2,650,892,751.68 ","42,763,232"
,2378534,McKesson Corp,MCK,0.17%,Health Care Distributors,US,---,"$2,613,338,370.57 ","3,144,017"
,2065308,Automatic Data Processing Inc,ADP,0.17%,Human Resource & Employment Services,US,---,"$2,543,164,910.86 ","10,303,723"
,BFSSDS9,Intercontinental Exchange Inc,ICE,0.17%,Financial Exchanges & Data,US,---,"$2,524,493,371.00 ","14,526,950"
,2829601,Southern Co/The,SO,0.17%,Electric Utilities,US,---,"$2,505,257,851.98 ","28,051,258"
