etf,holding_name,ticker,weight
VOO,LIVE NATION ENTERTAINMENT INC,LYV,0.0004
VOO,LABCORP HOLDINGS INC,LH,0.0004
VOO,DOLLAR TREE INC,DLTR,0.0004
VOO,CONSTELLATION BRANDS INC,STZ,0.0004
VOO,WATERS CORP,WAT,0.0004
VOO,CORPAY INC,CPAY,0.0004
VOO,COTERRA ENERGY INC,CTRA,0.0004
VOO,CMS ENERGY CORP,CMS,0.0004
VOO,SMURFIT WESTROCK PLC,SW,0.0004
VOO,NVR INC,NVR,0.0004
VOO,EQUITY RESIDENTIAL,EQR,0.0004
VOO,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,EXPD,0.0004
VOO,INTERNATIONAL PAPER CO,IP,0.0004
VOO,BROWN & BROWN INC,BRO,0.0004
VOO,NISOURCE INC,NI,0.0004
VOO,QUEST DIAGNOSTICS INC,DGX,0.0004
VOO,W R BERKLEY CORP,WRB,0.0003
VOO,AMCOR PLC,AMCR,0.0003
VOO,VERISIGN INC,VRSN,0.0003
VOO,KRAFT HEINZ CO/THE,KHC,0.0003
VOO,CENTENE CORP,CNC,0.0003
VOO,TEXAS PACIFIC LAND CORP,TPL,0.0003
VOO,QNITY ELECTRONICS INC,Q,0.0003
VOO,ALBEMARLE CORP,ALB,0.0003
VOO,KEYCORP,KEY,0.0003
VOO,PACKAGING CORP OF AMERICA,PKG,0.0003
VOO,SBA COMMUNICATIONS CORP,SBAC,0.0003
VOO,DOW INC,DOW,0.0003
VOO,GENUINE PARTS CO,GPC,0.0003
VOO,SNAP-ON INC,SNA,0.0003
VOO,PRINCIPAL FINANCIAL GROUP INC,PFG,0.0003
VOO,LULULEMON ATHLETICA INC,LULU,0.0003
VOO,NETAPP INC,NTAP,0.0003
VOO,PTC INC,PTC,0.0003
VOO,ROLLINS INC,ROL,0.0003
VOO,WEYERHAEUSER CO,WY,0.0003
VOO,TYSON FOODS INC,TSN,0.0003
VOO,DUPONT DE NEMOURS INC,DD,0.0003
VOO,HP INC,HPQ,0.0003
VOO,CHARTER COMMUNICATIONS INC,CHTR,0.0003
VOO,INSULET CORP,PODD,0.0003
VOO,LOEWS CORP,L,0.0003
VOO,INTERNATIONAL FLAVORS & FRAGRANCES INC,IFF,0.0003
VOO,EVERGY INC,EVRG,0.0003
VOO,DECKERS OUTDOOR CORP,DECK,0.0003
VOO,ZIMMER BIOMET HOLDINGS INC,ZBH,0.0003
VOO,PENTAIR PLC,PNR,0.0003
